[INFO] 2026-03-29 13:48:33 | StrategyAdvanced completed successfully
[INFO] 2026-03-29 13:49:43 | StrategyAdvanced completed successfully
[INFO] 2026-03-29 13:49:43 | NT-Tech run completed
[INFO] 2026-03-29 18:01:27 | Config loaded successfully
[INFO] 2026-03-29 18:01:27 | Candles loaded: 3
[INFO] 2026-03-29 18:01:27 | RiskManager initialized
[ERROR] 2026-03-29 18:01:27 | Strategy error: StrategyRouter.__init__() takes 2 positional arguments but 3 were given
[INFO] 2026-03-29 18:12:57 | Config loaded successfully
[INFO] 2026-03-29 18:12:57 | Candles loaded: 3
[INFO] 2026-03-29 18:12:57 | RiskManager initialized
[ERROR] 2026-03-29 18:12:57 | Strategy error: StrategyRouter.__init__() takes 2 positional arguments but 3 were given
[INFO] 2026-03-29 18:59:28 | Config loaded successfully
[INFO] 2026-03-29 18:59:28 | Candles loaded: 3
[INFO] 2026-03-29 18:59:28 | RiskManager initialized
[ERROR] 2026-03-29 18:59:28 | Strategy error: StrategyRouter.__init__() takes 2 positional arguments but 3 were given
[INFO] 2026-03-29 18:59:28 | Config loaded successfully
[INFO] 2026-03-29 18:59:28 | Candles loaded: 3
[INFO] 2026-03-29 18:59:28 | StrategyEngine starting StrategyAdvanced
[ERROR] 2026-03-29 18:59:28 | StrategyEngine error: 'short_ma'
[INFO] 2026-03-29 18:59:28 | Strategy executed successfully
[INFO] 2026-03-29 18:59:28 | Trade analysis completed
[INFO] 2026-03-29 18:59:28 | NT-Tech run completed
[INFO] 2026-03-29 19:03:11 | Config loaded successfully
[INFO] 2026-03-29 19:03:11 | Candles loaded: 3
[INFO] 2026-03-29 19:03:11 | StrategyEngine starting StrategyAdvanced
[ERROR] 2026-03-29 19:03:11 | StrategyEngine error: 'short_ma'
[INFO] 2026-03-29 19:03:11 | Strategy executed successfully
[INFO] 2026-03-29 19:03:11 | Trade analysis completed
[INFO] 2026-03-29 19:03:11 | NT-Tech run completed
[INFO] 2026-03-29 19:06:56 | Config loaded successfully
[INFO] 2026-03-29 19:06:56 | Candles loaded: 3
[INFO] 2026-03-29 19:06:56 | StrategyEngine starting StrategyAdvanced
[ERROR] 2026-03-29 19:06:56 | StrategyEngine error: 'short_ma'
[INFO] 2026-03-29 19:06:56 | Strategy executed successfully
[INFO] 2026-03-29 19:06:56 | Trade analysis completed
[INFO] 2026-03-29 19:06:56 | NT-Tech run completed
[INFO] 2026-03-29 19:26:42 | Config loaded successfully
[INFO] 2026-03-29 19:26:42 | Candles loaded: 3
[INFO] 2026-03-29 19:26:42 | StrategyEngine starting StrategyAdvanced
[ERROR] 2026-03-29 19:26:42 | StrategyEngine error: 'long_ma'
[INFO] 2026-03-29 19:26:42 | Strategy executed successfully
[INFO] 2026-03-29 19:26:42 | Trade analysis completed
[INFO] 2026-03-29 19:26:42 | NT-Tech run completed
[INFO] 2026-03-29 19:29:46 | Config loaded successfully
[INFO] 2026-03-29 19:29:46 | Candles loaded: 3
[INFO] 2026-03-29 19:29:46 | StrategyEngine starting StrategyAdvanced
[ERROR] 2026-03-29 19:29:46 | StrategyEngine error: 'long_ma'
[INFO] 2026-03-29 19:29:46 | Strategy executed successfully
[INFO] 2026-03-29 19:29:46 | Trade analysis completed
[INFO] 2026-03-29 19:29:46 | NT-Tech run completed
[INFO] 2026-03-29 19:40:10 | Config loaded successfully
[INFO] 2026-03-29 19:40:10 | Candles loaded: 3
[INFO] 2026-03-29 19:40:10 | StrategyEngine starting StrategyAdvanced
[ERROR] 2026-03-29 19:40:10 | StrategyEngine error: 'long_ma'
[INFO] 2026-03-29 19:40:10 | Strategy executed successfully
[INFO] 2026-03-29 19:40:10 | Trade analysis completed
[INFO] 2026-03-29 19:40:10 | NT-Tech run completed
[INFO] 2026-03-29 20:45:03 | Config loaded successfully
[INFO] 2026-03-29 20:45:16 | Candles loaded: 2918480
[INFO] 2026-03-29 20:45:16 | Selected strategy: advanced
[ERROR] 2026-03-29 20:45:16 | Strategy error: StrategyAdvanced.__init__() missing 2 required positional arguments: 'initial_balance' and 'risk_manager'
[INFO] 2026-03-29 20:49:13 | Config loaded successfully
[INFO] 2026-03-29 20:49:26 | Candles loaded: 2918480
[INFO] 2026-03-29 20:49:26 | Selected strategy: advanced
[ERROR] 2026-03-29 20:49:26 | Strategy error: 'OrderEngine' object has no attribute 'buy'
[INFO] 2026-03-29 20:52:30 | Config loaded successfully
[INFO] 2026-03-29 20:52:42 | Candles loaded: 2918480
[INFO] 2026-03-29 20:52:42 | Selected strategy: advanced
[INFO] 2026-03-29 20:52:42 | BUY at 3.15
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.136
[INFO] 2026-03-29 20:52:42 | BUY at 2.9515
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.031
[INFO] 2026-03-29 20:52:42 | BUY at 3.0
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.0037
[INFO] 2026-03-29 20:52:42 | BUY at 3.0463
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.0345
[INFO] 2026-03-29 20:52:42 | BUY at 2.993
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.9695
[INFO] 2026-03-29 20:52:42 | BUY at 2.9144
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 2.9326
[INFO] 2026-03-29 20:52:42 | BUY at 2.9278
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 2.967
[INFO] 2026-03-29 20:52:42 | BUY at 2.9383
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 2.9402
[INFO] 2026-03-29 20:52:42 | BUY at 2.9487
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.942
[INFO] 2026-03-29 20:52:42 | BUY at 2.9402
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.938
[INFO] 2026-03-29 20:52:42 | BUY at 2.9148
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.9084
[INFO] 2026-03-29 20:52:42 | BUY at 2.8809
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 2.8992
[INFO] 2026-03-29 20:52:42 | BUY at 2.86
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.8543
[INFO] 2026-03-29 20:52:42 | BUY at 2.8976
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 2.956
[INFO] 2026-03-29 20:52:42 | BUY at 2.9755
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.9747
[INFO] 2026-03-29 20:52:42 | BUY at 3.048
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.0498
[INFO] 2026-03-29 20:52:42 | BUY at 3.0388
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.0498
[INFO] 2026-03-29 20:52:42 | BUY at 3.2023
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.1825
[INFO] 2026-03-29 20:52:42 | BUY at 3.2125
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.243
[INFO] 2026-03-29 20:52:42 | BUY at 3.3
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2511
[INFO] 2026-03-29 20:52:42 | BUY at 3.166
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.124
[INFO] 2026-03-29 20:52:42 | BUY at 2.91
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 2.9024
[INFO] 2026-03-29 20:52:42 | BUY at 3.4017
[INFO] 2026-03-29 20:52:42 | TAKE PROFIT at 3.4279
[INFO] 2026-03-29 20:52:42 | BUY at 3.2499
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.2317
[INFO] 2026-03-29 20:52:42 | BUY at 3.3192
[INFO] 2026-03-29 20:52:42 | STOP LOSS at 3.31
[INFO] 2026-03-29 20:52:42 | BUY at 3.3032
