timestamp,message
2025-09-21T21:15:29.585790+02:00,Дневной убыток 5.00% > 1%
2025-09-21T21:15:29.586473+02:00,Общий убыток 10.00% > 5%
2025-09-21T21:15:29.587960+02:00,"Кулдаун 5 мин, прошло 1.0 мин"
2025-09-21T21:15:29.588921+02:00,Открытых позиций 1 >= 1
2025-09-21T21:15:29.589837+02:00,Размер позиции > 10% от equity
2025-09-21T21:15:29.592148+02:00,Дневной убыток 5.00% > 1%
2025-09-21T21:44:03.261026+02:00,Дневной убыток 5.00% > 1%
2025-09-21T21:44:03.261318+02:00,Общий убыток 10.00% > 5%
2025-09-21T21:44:03.262665+02:00,"Кулдаун 5 мин, прошло 1.0 мин"
2025-09-21T21:44:03.263522+02:00,Открытых позиций 1 >= 1
2025-09-21T21:44:03.264504+02:00,Размер позиции > 10% от equity
2025-09-21T21:44:03.266591+02:00,Дневной убыток 5.00% > 1%
2025-09-21T21:44:03.825854+02:00,Дневной убыток 5.00% > 1%
2025-09-21T21:44:03.826146+02:00,Общий убыток 10.00% > 5%
2025-09-21T21:44:03.827549+02:00,"Кулдаун 5 мин, прошло 1.0 мин"
2025-09-21T21:44:03.828555+02:00,Открытых позиций 1 >= 1
2025-09-21T21:44:03.829523+02:00,Размер позиции > 10% от equity
2025-09-21T21:44:03.831620+02:00,Дневной убыток 5.00% > 1%
